recipient,amount PPT owed (18 decimals),amount deposited of USD,amountPPT
0x4b1AFe7A5E51ad3166ED1159e56F34923505C364,"2,515,000,000,000,000,000,000.00",$503.00,"2,515.00"
0xA7a0AD990C7E94bE94e0912E7fd0fB4295e33c96,"1,440,000,000,000,000,000,000.00",$288.00,"1,440.00"
0xd87cC48ac0F4132757886fABCfb8F05E5201653C,"1,920,000,000,000,000,000,000.00",$384.00,"1,920.00"
0xDfaf8d376A5A16C47B6D6eB9c2F8d4f2CAb43dA9,"2,400,000,000,000,000,000,000.00",$480.00,"2,400.00"
0x2cdB3d86384812E1ACCd101771Ec3d5ed1E3be62,"2,935,000,000,000,000,000,000.00",$587.00,"2,935.00"
0xF8b14b35d7741b73Aa0938998BB9Fbe7274FCe74,"660,000,000,000,000,000,000.00",$132.00,660.00
0x397B4FD4ad5862A9C27281EBd352EaFeC27b9f38,"1,620,000,000,000,000,000,000.00",$324.00,"1,620.00"
0xE265487dffC0910397706D806cDA02522F5e69Bb,"625,000,000,000,000,000,000.00",$125.00,625.00
0xc88d88EBfa430c0326a5Bcd1Ae3A502967dFeB96,"1,945,000,000,000,000,000,000.00",$389.00,"1,945.00"
0x6A8FC02AFFC6E2747C669e5f3892E77985462ff5,"2,410,000,000,000,000,000,000.00",$482.00,"2,410.00"
0x6dBdc85CE1b086cEf441568bfBE58e755a429eed,"2,800,000,000,000,000,000,000.00",$560.00,"2,800.00"
0x90E343A7c9EeaFd65b230a489B72ABbcebed1E75,"1,665,000,000,000,000,000,000.00",$333.00,"1,665.00"
0x5257EcBF7af27D8487dfE1C0B47C0Ac1E8CDe155,"4,650,000,000,000,000,000,000.00",$930.00,"4,650.00"
0xaa0422277Eb92329d9F859221B15Abc40ccC5eDf,"3,210,000,000,000,000,000,000.00",$642.00,"3,210.00"
0xA546585c05386Dc1211b70297894e8A0F21FAB40,"3,745,000,000,000,000,000,000.00",$749.00,"3,745.00"
0xd12Adce792124F932B1232B3B6a8dF7cb5805D9B,"4,560,000,000,000,000,000,000.00",$912.00,"4,560.00"
0xd24a271574Ad0DaB201D01f96a6C5c48DE12C439,"2,305,000,000,000,000,000,000.00",$461.00,"2,305.00"
0xc6322218553B039cc151CCbd98B032dF25ABfE3d,"1,630,000,000,000,000,000,000.00",$326.00,"1,630.00"
0x88912c89ADDf4fB567EEeE7A666609e647b20381,"2,745,000,000,000,000,000,000.00",$549.00,"2,745.00"
0xA8CE8865d4470B384bfB70ba99AD315a149826fa,"7,335,000,000,000,000,000,000.00","$1,467.00","7,335.00"
0x066a2E7b73F589cE2A07dD0FDDA1f16C25097daC,"9,160,000,000,000,000,000,000.00","$1,832.00","9,160.00"
0xdf284292369dc38c8BF8aDD925E4E7aDC4e82425,"4,045,000,000,000,000,000,000.00",$809.00,"4,045.00"
0x56A6146bF64C6AB412Ba51691E058cFAa7FF64a9,"3,415,000,000,000,000,000,000.00",$683.00,"3,415.00"
0xdFD68667bC4ffb512E1155B7099E53f61B5691Bc,"2,710,000,000,000,000,000,000.00",$542.00,"2,710.00"
0x5233d0b1c1D150c760490502b67C1CD65a1894C2,"6,490,000,000,000,000,000,000.00","$1,298.00","6,490.00"
0x56B4D61a4FFaF33498fc0543519b4FF94e2814EE,"3,000,000,000,000,000,000,000.00",$600.00,"3,000.00"
0x35147257766875c0fF0Ad477F2caEE64ffB2A48F,"8,500,000,000,000,000,000,000.00","$1,700.00","8,500.00"
0x40A28db135eEc83744237f8686b160c56B55dC4B,"9,895,000,000,000,000,000,000.00","$1,979.00","9,895.00"
0x4Ed60A0a38042bDF9098C32194DE9f4F71b28bD1,"7,800,000,000,000,000,000,000.00","$1,560.00","7,800.00"
0x936667C7cc6D61D97FC4924A36e356eeFd719A76,"7,045,000,000,000,000,000,000.00","$1,409.00","7,045.00"
0x744736e77B00d152A9Cc4B252e678D2fc084dEdC,"5,685,000,000,000,000,000,000.00","$1,137.00","5,685.00"
0xD94Ab81ffb5C2E69D2004C7F671d043fb4065116,"6,715,000,000,000,000,000,000.00","$1,343.00","6,715.00"
0x19C263B900bA8ede3F333494ceD498B7A211A69f,"3,780,000,000,000,000,000,000.00",$756.00,"3,780.00"
0xcFfa3075DdB3cbDFcfEfDb4146F1801DDf6555a0,"265,000,000,000,000,000,000.00",$53.00,265.00
0xb8aDa46639073A27a79f44Fa75Ed20dd1596C809,"6,040,000,000,000,000,000,000.00","$1,208.00","6,040.00"
0x7065754192394eaB73D3E8Cfb644A80B539B6e2a,"9,495,000,000,000,000,000,000.00","$1,899.00","9,495.00"
0x57427A079B0Dc13144cD8D87b4224fA358599819,"3,040,000,000,000,000,000,000.00",$608.00,"3,040.00"
0x47b33e5fb9bc2B432F0bd2F400e556a3d405E7c8,"2,415,000,000,000,000,000,000.00",$483.00,"2,415.00"
0xf84BaA8E85EB9fc5f90481635e0b7908791D8834,"5,145,000,000,000,000,000,000.00","$1,029.00","5,145.00"
0x379F6A0112c11B1558e4fB3b686C70530c2D9DAf,"10,870,000,000,000,000,000,000.00","$2,174.00","10,870.00"
0xB8CBF46317EB190321AfB880cEa1827977a2Ce40,"6,870,000,000,000,000,000,000.00","$1,374.00","6,870.00"
0x8d531eB1553B6Ac86DA9B5653CDe95F7518da856,"9,315,000,000,000,000,000,000.00","$1,863.00","9,315.00"
0x616D6a35529C1767DF238693Ac01Ee5Bc6f839C6,"4,515,000,000,000,000,000,000.00",$903.00,"4,515.00"
0xE43468b3471C469b92039FC1fDEc4A9a39E13161,"4,695,000,000,000,000,000,000.00",$939.00,"4,695.00"
0xA01d0D21D1032f91dD4fA451cA2D10E9F477DA1b,"5,715,000,000,000,000,000,000.00","$1,143.00","5,715.00"
0x479e73EB164a6Ff1Ef23838aCa42dDdca590D81f,"11,245,000,000,000,000,000,000.00","$2,249.00","11,245.00"
0x73Ffc1a0c28e16575539B2d1B2BB1f89Cc480510,"1,950,000,000,000,000,000,000.00",$390.00,"1,950.00"
0xC72c2f6a722f2a68403Bc02969465695Ae8e67d2,"9,765,000,000,000,000,000,000.00","$1,953.00","9,765.00"
0x872bb91018E63a95c4a413B4B9536a82620B11B2,"660,000,000,000,000,000,000.00",$132.00,660.00
0x5A82a45a8f48df61A8B65dAf61FD8A5a285a2D8e,"9,795,000,000,000,000,000,000.00","$1,959.00","9,795.00"
0xb5db3dc6B69Ebe9bb328eDa377467182caF6721E,"7,300,000,000,000,000,000,000.00","$1,460.00","7,300.00"
0x5E937007Fc9dDE0e4f27D267BC40C418c29fbbF8,"2,850,000,000,000,000,000,000.00",$570.00,"2,850.00"
0x3d3a23772C68aE79Ae88A1C344dFE3700a9643Aa,"8,905,000,000,000,000,000,000.00","$1,781.00","8,905.00"
0x0b055465ce3092ed289f1A8bDA3c6475288D1c71,"6,105,000,000,000,000,000,000.00","$1,221.00","6,105.00"
0x1cac233a7bc2B00E55b064225b4F641Bb2841E8b,"4,230,000,000,000,000,000,000.00",$846.00,"4,230.00"
0xCf87Fb0F9F2B58F6AE0d565d7f7925651262cd3f,"7,735,000,000,000,000,000,000.00","$1,547.00","7,735.00"
0x99ea01ca1d79CcA6CAF692AF1Ef2B910e57316eB,"3,175,000,000,000,000,000,000.00",$635.00,"3,175.00"
0x6eec4B4Fa5AF846c01f034a11736Bf4bD6AEDc66,"4,950,000,000,000,000,000,000.00",$990.00,"4,950.00"
0x4c6784229cec3009285674bb2B7A84dCFb311f3e,"475,000,000,000,000,000,000.00",$95.00,475.00
0x349633dbee2ae1f138dbf1b04a239eb33dd7a457,"3,000,000,000,000,000,000,000.00",$600.00,"3,000.00"
0xe3af998ba2c3825c8d03cf564baf349494d8088b,"2,500,000,000,000,000,000,000.00",$500.00,"2,500.00"
0xa355b14071040dba9f8de2e991cb1a8d2025b998,"495,000,000,000,000,000,000.00",$99.00,495.00
0xbEC3e37202AC0fCF27cB8CbC475CdCFA3e577865,"3,275,000,000,000,000,000,000.00",$655.00,"3,275.00"
0xC39db3b2cfbFeEAc7B23d5229F8c33668BfA8b2D,"3,435,000,000,000,000,000,000.00",$687.00,"3,435.00"
0xb5ABF0c9A16ef579ecDEB9a72242f14f86b61486,"3,415,000,000,000,000,000,000.00",$683.00,"3,415.00"
0x182aBAFc5Aa6f7414fa79b22ADe91083D3CFFB15,"2,020,000,000,000,000,000,000.00",$404.00,"2,020.00"
0x57C77023E05D6C3b9aa3260924a5314c8D1170e5,"2,325,000,000,000,000,000,000.00",$465.00,"2,325.00"
0x79c6D6d0762C64F2065a5a20D37D20E582fa24eD,"2,035,000,000,000,000,000,000.00",$407.00,"2,035.00"
0xDfcCF52EC187FA0565c59d255B85ff39dD717b76,"2,730,000,000,000,000,000,000.00",$546.00,"2,730.00"
0x203f2d9c7ddC349d271388329ac8fC879226dceA,"3,120,000,000,000,000,000,000.00",$624.00,"3,120.00"
0xE6d8d5a6Aed50F6c6399bd82208c391866CE6f13,"3,370,000,000,000,000,000,000.00",$674.00,"3,370.00"
0xdb69854513f720EbB5BF2d60f81760E189ed2844,"3,420,000,000,000,000,000,000.00",$684.00,"3,420.00"
0x94c9A2F78786EA7f5Bd6641A1E4bF75118209763,"1,580,000,000,000,000,000,000.00",$316.00,"1,580.00"
0xC949ee5b6593f1739A8a6BbBe66C9e567B314230,"3,490,000,000,000,000,000,000.00",$698.00,"3,490.00"
0xc5b41acfc608b493A0124Cb46ea6C57Cd58AE2a0,"2,490,000,000,000,000,000,000.00",$498.00,"2,490.00"
0x261ce580c24F82aaa4a44d33682169327B49d39d,"2,115,000,000,000,000,000,000.00",$423.00,"2,115.00"
0xB54AA6111F7046596111bcAa98e7A9e9dcEcbC60,"2,265,000,000,000,000,000,000.00",$453.00,"2,265.00"
0x69D4BC54e374E6c6191296974EA9eF430a2767C9,"2,930,000,000,000,000,000,000.00",$586.00,"2,930.00"
0x1ec0e9169c312031A78156039e807B3d06eee3e0,"2,490,000,000,000,000,000,000.00",$498.00,"2,490.00"
0x0B6fAaFe8e8120C5235288F40c43bd6B9e311AF7,"4,425,000,000,000,000,000,000.00",$885.00,"4,425.00"
0x35bC526F75c6Ac14e8A92e98b7Be77e6064Ed81d,"3,885,000,000,000,000,000,000.00",$777.00,"3,885.00"
0xf18db41eabe652befd8db3df08a756F861dF95E8,"4,115,000,000,000,000,000,000.00",$823.00,"4,115.00"
0x915520FD21DBdFf628087453dd758151Fd23c3ed,"1,670,000,000,000,000,000,000.00",$334.00,"1,670.00"
0xd07875A91A71a83eA4aBC667afDf9cf44761B610,"2,950,000,000,000,000,000,000.00",$590.00,"2,950.00"
0x93ab9483c2fbD21934146526c8E93A344e4Cc6c6,"4,160,000,000,000,000,000,000.00",$832.00,"4,160.00"
0xe05A97B71B29EA275406c0f85F3697b6b015190a,"1,935,000,000,000,000,000,000.00",$387.00,"1,935.00"
0xDcf6eE32314fb7402C11118B13463E1A4Dc689Ca,"2,160,000,000,000,000,000,000.00",$432.00,"2,160.00"
0x0eBb5b9fC2c54Bc9650B39C8D0EE674F26C0c91c,"2,755,000,000,000,000,000,000.00",$551.00,"2,755.00"
0xEaC24C406A0bC3Da98De5B999353Cd910dE70928,"3,335,000,000,000,000,000,000.00",$667.00,"3,335.00"
0xeb871F5dBdbfB5C7F1465E9F8A349E6317177814,"4,490,000,000,000,000,000,000.00",$898.00,"4,490.00"
0x1Fa9bFcC739d5a7698144A2E5591fD232D6FeB40,"1,715,000,000,000,000,000,000.00",$343.00,"1,715.00"
0x1De2b8096F9bf02d3A35C7e008bb3058ED1CD498,"3,485,000,000,000,000,000,000.00",$697.00,"3,485.00"
0x6aA35d12A5d8C0B819DBD2F6419b0407d839F1A9,"2,215,000,000,000,000,000,000.00",$443.00,"2,215.00"
0x9B0FFC7da3EaD9B5a5a0E9BDF536ac8Bb0adde78,"2,160,000,000,000,000,000,000.00",$432.00,"2,160.00"
0x5FC8C60e61FFb16033e733241128ca355deC8bf2,"3,290,000,000,000,000,000,000.00",$658.00,"3,290.00"
0x3476904770B481c2005a164a541fa1f4e31e9E91,"2,725,000,000,000,000,000,000.00",$545.00,"2,725.00"
0x0216fa36b47Ec223801794c9f4B9d0A03c50214E,"4,360,000,000,000,000,000,000.00",$872.00,"4,360.00"
0x06035D11F48c05094bE203954e56B448373A9948,"2,315,000,000,000,000,000,000.00",$463.00,"2,315.00"
0x62fAD23EbD546ab59Da66A13B20F6EE314719C15,"2,495,000,000,000,000,000,000.00",$499.00,"2,495.00"
0xb6F14D6BCe254f935A7E704049630CDcD6bA8Da0,"2,770,000,000,000,000,000,000.00",$554.00,"2,770.00"
0xf669Ff1575b12d3727CCe89962Ac625A8d125184,"4,155,000,000,000,000,000,000.00",$831.00,"4,155.00"
0x3eF016b9ff987CAb699842c69708c6B8380e4dA4,"3,295,000,000,000,000,000,000.00",$659.00,"3,295.00"
0xEFe9053323B2919093B834897B939D26716B26B8,"3,910,000,000,000,000,000,000.00",$782.00,"3,910.00"
0x055a9A8D3Eb72577De114e05f5f470a93CDF4bb4,"2,955,000,000,000,000,000,000.00",$591.00,"2,955.00"
0x8a90F0572787C48DC226FEa39f607E9F4798F9f2,"1,995,000,000,000,000,000,000.00",$399.00,"1,995.00"
0xC0af3C65002331EB0394C2246459F14c359758a8,"3,035,000,000,000,000,000,000.00",$607.00,"3,035.00"
0x32A2aB6346133623Ff3c986e89e4637E57b5471f,"3,410,000,000,000,000,000,000.00",$682.00,"3,410.00"
0xA8085EcaEf8D32e40d4362Ec6158E0bE55DBe831,"3,210,000,000,000,000,000,000.00",$642.00,"3,210.00"
0x1926674094935c81097630aA7a79A23f1bFCF78C,"4,170,000,000,000,000,000,000.00",$834.00,"4,170.00"
0x5D5D3eC40eD400A04a41b977d5BCEf3f97D49C6d,"4,315,000,000,000,000,000,000.00",$863.00,"4,315.00"
0xc82001224216Ddf7708465bA3888F7C981f9237E,"1,885,000,000,000,000,000,000.00",$377.00,"1,885.00"
0x39BA848F5395D48b062e27A7700773F44f670c23,"3,500,000,000,000,000,000,000.00",$700.00,"3,500.00"
0xe97100dd9f1a732992bde4eaf206cca97a1fd57f,"250,000,000,000,000,000,000.00",$50.00,250.00
0x1171426b52a3f1e211e1d1adfc82cadfda8d9093,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xabea0af535b004364848b992b5e44d929deb047f,"15,000,000,000,000,000,000,000.00","$3,000.00","15,000.00"
0x8da18e320f629cafde27abbdfeee6f3e878b4cc7,"15,000,000,000,000,000,000,000.00","$3,000.00","15,000.00"
0x6ea7fceb0a2c0bc51652d5530ab4f07c2e9d9d1d,"10,000,000,000,000,000,000,000.00","$2,000.00","10,000.00"
0x15622b3156e73167b0dea638008a829a0f433edc,"9,500,000,000,000,000,000,000.00","$1,900.00","9,500.00"
0xdecfc7351961483e3ced4792af48ff7efb387d39,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xee73afd901dfa3caefa1cb51dea6159538c88b7b,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0x1a4302dc8bf28587bd3b0b4778cd3f382b29e646,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xe499448fd86c91e041dc669e09f4dc4a4bbea605,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0x68fe637ca877404c8702d0a95d9f2e7b82f9b5ed,"20,500,000,000,000,000,000,000.00","$4,100.00","20,500.00"
0x7e100aeb2409598231ceea50226cbc5261589942,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0x12784dd9c22604805fa12bc47993ce9fd148cca8,"15,000,000,000,000,000,000,000.00","$3,000.00","15,000.00"
0xcdca3c9f538167f36ca493ea9996de93a8d786f1,"15,000,000,000,000,000,000,000.00","$3,000.00","15,000.00"
0xeeb001383df4edd4bd004fc37a42458c70fa3171,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0x4b70b870182f65e43e7413ec33878015eab7e7ff,"3,970,000,000,000,000,000,000.00",$794.00,"3,970.00"
0x8f4714060188f4b878739f72228f5d7451f18589,"500,000,000,000,000,000,000.00",$100.00,500.00
0x359473d0c608c26c79673796391dd76ac7bc045e,"505,000,000,000,000,000,000.00",$101.00,505.00
0xc9ae89fc25b0785cdf163bdda6d01d1303454404,"250,000,000,000,000,000,000.00",$50.00,250.00
0x4d882254cf5a6eac3253193fafc47b3da0baead0,"290,000,000,000,000,000,000.00",$58.00,290.00
0x8dd5ae5c1476029549e9e931c187b88d61b21493,"260,000,000,000,000,000,000.00",$52.00,260.00
0x9a5De09Ca14a6BD3d5a892b227CB5721E603a8AE,"3,285,000,000,000,000,000,000.00",$657.00,"3,285.00"
0x55359f1fF50CaCffEFfB18f5cA2408A56687f3DD,"4,080,000,000,000,000,000,000.00",$816.00,"4,080.00"
0x8406cC7e76E92B0f2196dF6646DD11234F8bDB99,"1,405,000,000,000,000,000,000.00",$281.00,"1,405.00"
0xf15E786Ff2E2641886c0C3E4c8E58D280dc6dc58,"1,895,000,000,000,000,000,000.00",$379.00,"1,895.00"
0xE1e029feD105A9D47cc935c182aeEd1f50ee4E0F,"1,435,000,000,000,000,000,000.00",$287.00,"1,435.00"
0x56363A146510f668371A56F566d0B34A54Ee689C,"3,285,000,000,000,000,000,000.00",$657.00,"3,285.00"
0xE4641C8a85042b899f1a3863B6FF6fe2E93E77C0,"1,615,000,000,000,000,000,000.00",$323.00,"1,615.00"
0xdF20bD2b3F589D1dE01dfE34d576828338212573,"3,075,000,000,000,000,000,000.00",$615.00,"3,075.00"
0x2EE5c9E80772b4A6dFF13d72F38B788251a541FB,"1,510,000,000,000,000,000,000.00",$302.00,"1,510.00"
0xDddc0BB54D99c39228a31FCb20B0B808Fe350325,"4,200,000,000,000,000,000,000.00",$840.00,"4,200.00"
0x3e06411F2DBcE26C35143C8926F54aBDc4e3c303,"2,165,000,000,000,000,000,000.00",$433.00,"2,165.00"
0xD89A71039D0917b7991f9bA9a18159956240807F,"1,075,000,000,000,000,000,000.00",$215.00,"1,075.00"
0x60aD117D7dC479c120a20050feA57231ED0C623a,"2,780,000,000,000,000,000,000.00",$556.00,"2,780.00"
0x265Cd9f5Dc19366B1347A21f472ca90B6A3D4D3D,"2,615,000,000,000,000,000,000.00",$523.00,"2,615.00"
0xedCC59FC4FdFfC7929eD281920a571ec83cd2883,"1,080,000,000,000,000,000,000.00",$216.00,"1,080.00"
0x3AEAa3aFee3bD8A2e9167f14Ec65d660F3112f75,"1,665,000,000,000,000,000,000.00",$333.00,"1,665.00"
0xE59aF9FB037B3310Ee89e5a5aDcf72edc01Dc3E7,"1,270,000,000,000,000,000,000.00",$254.00,"1,270.00"
0x78f813c196fF73098c512817078Ef79d7D1d2eB1,"2,250,000,000,000,000,000,000.00",$450.00,"2,250.00"
0xaD219cce104f45E9276D779C627d6c45BA0276B4,"3,065,000,000,000,000,000,000.00",$613.00,"3,065.00"
0xBC662Db993c98E1CedCF170151F6bFf4b6cb3954,"3,475,000,000,000,000,000,000.00",$695.00,"3,475.00"
0xb48eD2Bf5d515aDa180b9823ce4E5D0B81449336,"1,295,000,000,000,000,000,000.00",$259.00,"1,295.00"
0xA1f3aBD4e65B72109bF38AbAc736049f73c6cc83,"1,725,000,000,000,000,000,000.00",$345.00,"1,725.00"
0x722eECf67b54dcb58e23A70F79C093e57a5B332d,"4,040,000,000,000,000,000,000.00",$808.00,"4,040.00"
0xc93Ee15B8d25692dB7CE793257DcA10E68Bba91b,"2,465,000,000,000,000,000,000.00",$493.00,"2,465.00"
0x7aE27473c287BF703cb6a0D495D6314F092D4893,"2,525,000,000,000,000,000,000.00",$505.00,"2,525.00"
0xDEC98e38b9d1aEcCe753154420A67d4F012f0d79,"2,745,000,000,000,000,000,000.00",$549.00,"2,745.00"
0x6cd64bA6750E90C64687497F63530957Ed069b34,"1,410,000,000,000,000,000,000.00",$282.00,"1,410.00"
0xA94AF36bdD3313A23BC9247fde4726131efC1e3c,"1,070,000,000,000,000,000,000.00",$214.00,"1,070.00"
0x379fC2558E8a1514f7B8DB075bE568852C0cF269,"1,760,000,000,000,000,000,000.00",$352.00,"1,760.00"
0xa3c5E7931d435E441400882af42E7166aCd8f7f3,"3,940,000,000,000,000,000,000.00",$788.00,"3,940.00"
0xb915902dbf9d5B2d42555533C4065f9b820Ee982,"1,990,000,000,000,000,000,000.00",$398.00,"1,990.00"
0x725A854DC95d07749DeE8Bcc6C71D65c9AcA37DF,"1,420,000,000,000,000,000,000.00",$284.00,"1,420.00"
0xa872DdADdafDEA031f4b5D9E823B87050c431a61,"1,890,000,000,000,000,000,000.00",$378.00,"1,890.00"
0xbBB544179bdfba59Efa40F8C4d44d44AF873bD5A,"1,915,000,000,000,000,000,000.00",$383.00,"1,915.00"
0x490aAaa5719342e8396a7Bb8FCfEF1c30e95ea71,"2,275,000,000,000,000,000,000.00",$455.00,"2,275.00"
0xDC66c47C608383FDc7ef735f520aCBf85f15Be0A,"2,895,000,000,000,000,000,000.00",$579.00,"2,895.00"
0x53c1852e10CCA32b60b1d30F73335d70f695A46C,"2,095,000,000,000,000,000,000.00",$419.00,"2,095.00"
0x6DD7481778443b5D7C3A79f59fAfAAF543d2f11f,"2,715,000,000,000,000,000,000.00",$543.00,"2,715.00"
0x351B57FDB433693Eb2Ff0F0A3bDCfBA31d8a1b11,"2,095,000,000,000,000,000,000.00",$419.00,"2,095.00"
0xEE854817b07b7Ac42Ab26236ED29edA39139d799,"660,000,000,000,000,000,000.00",$132.00,660.00
0xC98DeEe6F2722D0BEbc949C01841e214d05706D2,"2,050,000,000,000,000,000,000.00",$410.00,"2,050.00"
0xbda607505909CF74a4ff004694716f17D4372954,"1,830,000,000,000,000,000,000.00",$366.00,"1,830.00"
0x5cAE2aD8EF296A2D02394f90cb5AB816D44e37e1,"520,000,000,000,000,000,000.00",$104.00,520.00
0x1c15230962486ad24F4a397117e29C8D54dE92Ec,"825,000,000,000,000,000,000.00",$165.00,825.00
0x652033844F161007B295C3dE825ae9BF3D33a9ec,"2,170,000,000,000,000,000,000.00",$434.00,"2,170.00"
0x1B1c491618DB98C796342D3E881695bf7E11AC80,"3,725,000,000,000,000,000,000.00",$745.00,"3,725.00"
0xb6d080B91cd5344c003d1dF4036E9D7A5086eDbe,"3,975,000,000,000,000,000,000.00",$795.00,"3,975.00"
0x0d09AC6c3B31eB3f235E4095FF1DEc0E36ba71D5,"1,320,000,000,000,000,000,000.00",$264.00,"1,320.00"
0xb683E999EDd22Fec5918aE162933aA307c4d9353,"3,485,000,000,000,000,000,000.00",$697.00,"3,485.00"
0x2026BFC6e9F6a9c93F81b153fEC7b6789e86F255,"1,070,000,000,000,000,000,000.00",$214.00,"1,070.00"
0x69d601Dd4D477C5b58b2Ea525d7f1BEc0165E3ec,"3,055,000,000,000,000,000,000.00",$611.00,"3,055.00"
0x05466280f49966303C9BE55eb543953A28e5794A,"2,765,000,000,000,000,000,000.00",$553.00,"2,765.00"
0x37006df96E360B9444bBB3c3c70c0588A1e79816,"2,725,000,000,000,000,000,000.00",$545.00,"2,725.00"
0xD393268C54d0179334e5f694Cf5af8f65fec6805,"1,810,000,000,000,000,000,000.00",$362.00,"1,810.00"
0x0D868C7f8347AD76C3ADf3d51C511361e5AAE7A0,"1,345,000,000,000,000,000,000.00",$269.00,"1,345.00"
0x0A23328450aBa5E1e10b48a29861858ec8A1Ccbd,"1,350,000,000,000,000,000,000.00",$270.00,"1,350.00"
0xe2cFF0D3e7c9B4305A81cf8fA68316f95C378033,"3,415,000,000,000,000,000,000.00",$683.00,"3,415.00"
0xfbA141E7e4aF6AF6dEbFb6107D3C6c433A76Dd21,"1,100,000,000,000,000,000,000.00",$220.00,"1,100.00"
0x9353D1aF6AfB515105365409486C19D8cA79d515,"2,075,000,000,000,000,000,000.00",$415.00,"2,075.00"
0x689b2e6506996BBd384221C3e394BBa3d13c0BF0,"1,530,000,000,000,000,000,000.00",$306.00,"1,530.00"
0xdff54A8c60cb3f2557e0a3C4B1a9e847BC68b23D,"895,000,000,000,000,000,000.00",$179.00,895.00
0x689200a19f7eCFDA20FDA91bF091fc390Eb3aD4C,"4,140,000,000,000,000,000,000.00",$828.00,"4,140.00"
0x955De607D3e8f9705B60aAc853D16132ba0206Ab,"3,625,000,000,000,000,000,000.00",$725.00,"3,625.00"
0x90b1Da789f53c47DB6B9A6804324Cf1A3E260E37,"1,925,000,000,000,000,000,000.00",$385.00,"1,925.00"
0x21F341EA06F1ef8349eA2a0733962Cdd196867d4,"1,140,000,000,000,000,000,000.00",$228.00,"1,140.00"
0x95102C61C5D23b71Dd9410b2bEB285efBC24c75b,"1,675,000,000,000,000,000,000.00",$335.00,"1,675.00"
0x3594a539506ac08E6DE6cdAE3Bdff8E84B08459b,"2,390,000,000,000,000,000,000.00",$478.00,"2,390.00"
0x584B8101f3825A6CEfca1A48c40615e124faF6c4,"3,610,000,000,000,000,000,000.00",$722.00,"3,610.00"
0xdC5De0cCBa7b9Bb70F6CB1B31f4650aB77a1f592,"1,770,000,000,000,000,000,000.00",$354.00,"1,770.00"
0xbE1E650b3b3BB3050150c2AE501c1918D13c22cb,"3,695,000,000,000,000,000,000.00",$739.00,"3,695.00"
0x78D4DBb05c5ec96fed048F66f48d3Af83AAa64B8,"2,460,000,000,000,000,000,000.00",$492.00,"2,460.00"
0x987Af8Ff5eAc859dE6c1120f1F464923BDd7A359,"1,980,000,000,000,000,000,000.00",$396.00,"1,980.00"
0xa9E146155b2015EEE571c9c7129645E514822732,"3,720,000,000,000,000,000,000.00",$744.00,"3,720.00"
0x444F7B9C64268D8bffa208BA4396536f53436c91,"3,365,000,000,000,000,000,000.00",$673.00,"3,365.00"
0x7D866Ba612163Ba81A2fa074Ed303E12AAd50f34,"1,565,000,000,000,000,000,000.00",$313.00,"1,565.00"
0x32B14cc1494E67caC4aB3d2e9Aa1Ab19995ddCaD,"3,185,000,000,000,000,000,000.00",$637.00,"3,185.00"
0x59e96ca73B89C473Bc51B8c51d00410036d1736A,"1,950,000,000,000,000,000,000.00",$390.00,"1,950.00"
0x15b206CFcF0310e2830f5632a39122d152B17B07,"3,890,000,000,000,000,000,000.00",$778.00,"3,890.00"
0xCFD7eCF5199299706e6a57913e297ff5C92f0DEb,"4,115,000,000,000,000,000,000.00",$823.00,"4,115.00"
0x36fC9BCf13A329C360dbc80e2d6d718D93B97E55,"795,000,000,000,000,000,000.00",$159.00,795.00
0xF36dE5636e89e70985eDbb996E6670409D40a732,"1,470,000,000,000,000,000,000.00",$294.00,"1,470.00"
0xF38cDa33beE2Ca7A9feCf53AaDcAce3CFb1a9fe0,"1,770,000,000,000,000,000,000.00",$354.00,"1,770.00"
0x90c35919d63dE24A48b16e61e30d768698d3C625,"1,470,000,000,000,000,000,000.00",$294.00,"1,470.00"
0x650f26eE7D7f631fda88Bb94E3BAE412A1Bc5D83,"3,835,000,000,000,000,000,000.00",$767.00,"3,835.00"
0x1065012653A00028b584490d9dA5cB64aBce1A67,"820,000,000,000,000,000,000.00",$164.00,820.00
0x8828539B32Ef6631B100D4Bd1fAB03b98031D236,"1,420,000,000,000,000,000,000.00",$284.00,"1,420.00"
0xc2D813DCE8A450E6E50E674568d97a5dcF32f724,"2,115,000,000,000,000,000,000.00",$423.00,"2,115.00"
0x319Fc7fAA12e313F765Ec7effE7E42154F02611e,"3,635,000,000,000,000,000,000.00",$727.00,"3,635.00"
0x802812c17f43E4839CC2B099D472CFb6F8D5BC02,"2,330,000,000,000,000,000,000.00",$466.00,"2,330.00"
0xAC1c1AE4863eDd7e9211C47FE90952e55C3EeF59,"1,245,000,000,000,000,000,000.00",$249.00,"1,245.00"
0x370306b801F14Fe7144f0cBe6EE1ae4e0194d876,"1,365,000,000,000,000,000,000.00",$273.00,"1,365.00"
