recipient,amountPPT18Dec,amount_deposited_of_USD,amountPPT
0xd5bd1F7fF3e49A60019E8532243ee1a2aaD699AE,"7,952,127,659,574,460,000,000.00","$1,495.00","7,952.13"
0xAD93368245E336C6dD2c1BB01D5C21E77E170CAB,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x7C629821105d522338f817d6198B74008d5cc506,"7,930,851,063,829,780,000,000.00","$1,491.00","7,930.85"
0x48fc49388589D11B3794f086535c62abb8F64863,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xa1280E73B03eb837D1Bb934c71b5cA5944e8A05d,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x9691978B4244E446054bECBd150C0d9Fe55066B4,"2,409,574,468,085,100,000,000.00",$453.00,"2,409.57"
0x1e7aBE7c07C1eddE39fEe2e2cF632395D7040dB4,"7,888,297,872,340,420,000,000.00","$1,483.00","7,888.30"
0xE557cf8003D8a223eebBc9A3c8Ce1743A3e48443,"7,941,489,361,702,120,000,000.00","$1,493.00","7,941.49"
0xc66fC6474966a70381a7B857714c3b6EF2500980,"7,819,148,936,170,210,000,000.00","$1,470.00","7,819.15"
0x9A886ae5f4DF6CBf12E3B967D54262601CaDB31D,"1,861,702,127,659,570,000,000.00",$350.00,"1,861.70"
0xe50596753f58da57732eEDf805eac27e76558DeA,"7,840,425,531,914,890,000,000.00","$1,474.00","7,840.43"
0xF6cb74d5237c6bA5fB40418CB78bd31545858de1,"7,824,468,085,106,380,000,000.00","$1,471.00","7,824.47"
0xA44209C3ec5A8784A2F9C4D6bd663c6C8DAe64E1,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xD16792E3B9843CE6673D8F5D1159062D2B29ad1f,"7,829,787,234,042,550,000,000.00","$1,472.00","7,829.79"
0x40DFdE99a4d1E082ee9722c497B0A98261a4bc3B,"537,234,042,553,191,000,000.00",$101.00,537.23
0x35c0ced7ef243d73aa0535c9956dd7D101fbF940,"7,882,978,723,404,250,000,000.00","$1,482.00","7,882.98"
0x2D3f161C4d93b093Cd3e0F72999538006ecA4d00,"7,934,627,659,574,460,000,000.00","$1,491.71","7,934.63"
0x5676117A56e419F3a0EFaDAeaBEC41f0a6f9f041,"7,977,180,851,063,830,000,000.00","$1,499.71","7,977.18"
0x0Ec5913698c97f972572f5a6eCA98871e6Df1f35,"7,828,244,680,851,060,000,000.00","$1,471.71","7,828.24"
0x8689A346d7a5cC0dA1fC3c089825Dbc1De22E92e,"7,838,882,978,723,400,000,000.00","$1,473.71","7,838.88"
0x41982578f8e1d87951c4074AD3ec247a834CC777,"7,918,670,212,765,950,000,000.00","$1,488.71","7,918.67"
0xDF9F7BeC4cFBcE7221E60CB2E44aCB5D69B97938,"7,966,542,553,191,480,000,000.00","$1,497.71","7,966.54"
0x0e2cf9FC0B6e7D2DE57e3ceb85D9A806ef4b6009,"7,886,755,319,148,930,000,000.00","$1,482.71","7,886.76"
0xfd01e0d9Cb21dE08065aFE96A8643ED6045Fe52A,"7,892,074,468,085,100,000,000.00","$1,483.71","7,892.07"
0xbBbFe073960430Eb62F7F254a51BC9b16758b215,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x6624DAfC4400C3dFCE68706c15d5968fa06d377d,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x5e03cB1c85275A4D714a285077B5fA500c8055E6,"7,888,297,872,340,420,000,000.00","$1,483.00","7,888.30"
0xaB18e8C39529A0FCFA6f2A8128D85D7D961A6d89,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x135C45CC9D1aC4ffA3F8476F0299CE85Ec88EC9a,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
